relative_file,pages,parse_status,sample_text_chars_first_3_pages,error
01-agreement\00_full_agreement_cn.pdf,2,pass,820,
01-agreement\00_full_agreement_en.pdf,6,pass,2060,
01-agreement\02_trade_in_goods_cn.pdf,15,pass,1777,
01-agreement\02_trade_in_goods_en.pdf,16,pass,5337,
01-agreement\03_rules_of_origin_cn.pdf,24,pass,1871,
01-agreement\03_rules_of_origin_en.pdf,27,pass,5144,
01-agreement\04_customs_and_trade_facilitation_cn.pdf,17,pass,1522,
01-agreement\04_customs_and_trade_facilitation_en.pdf,18,pass,4677,
01-agreement\06_standards_technical_regulations_conformity_cn.pdf,10,pass,1536,
01-agreement\06_standards_technical_regulations_conformity_en.pdf,10,pass,4912,
01-agreement\07_trade_remedies_cn.pdf,11,pass,1653,
01-agreement\07_trade_remedies_en.pdf,13,pass,5050,
02-origin\annex_3a_psr_original_cn.pdf,180,pass,1899,
02-origin\annex_3a_psr_original_en.pdf,159,pass,3824,
02-origin\annex_3b_minimum_information_cn.pdf,2,pass,795,
02-origin\annex_3b_minimum_information_en.pdf,2,pass,2290,
02-origin\RCEP_certificate_of_origin_form_revised.pdf,2,pass,9852,
02-origin\RCEP_CO_issuing_bodies_list.pdf,2,pass,2434,
02-origin\RCEP_electronic_CO_and_PO_acceptance_status.pdf,3,pass,7842,
02-origin\RCEP_parties_implementing_list.pdf,1,pass,352,
02-origin\RCEP_PSR_HS2022_current.pdf,140,pass,4870,
02-origin\RCEP_rules_of_origin_implementing_guidelines_revised.pdf,3,pass,8166,
03-tariff-schedules\australia\08_headnotes_AU.pdf,1,pass,970,
03-tariff-schedules\australia\09_schedule_AU.pdf,120,pass,27122,
03-tariff-schedules\brunei\22_headnotes_BN.pdf,1,pass,1091,
03-tariff-schedules\brunei\23_schedule_BN.pdf,63,pass,103158,
03-tariff-schedules\cambodia\24_headnotes_KH.pdf,1,pass,451,
03-tariff-schedules\cambodia\25_schedule_KH.pdf,198,pass,25686,
03-tariff-schedules\indonesia\26_headnotes_ID.pdf,1,pass,1015,
03-tariff-schedules\indonesia\29_schedule_ID_for_CN.pdf,337,pass,22374,
03-tariff-schedules\indonesia\33_appendix_ID.pdf,4,pass,7545,
03-tariff-schedules\japan\10_headnotes_JP.pdf,1,pass,1091,
03-tariff-schedules\japan\11_schedule_JP.pdf,1209,pass,5653,
03-tariff-schedules\japan\12_appendix_JP.pdf,3,pass,6727,
03-tariff-schedules\laos\34_headnotes_LA.pdf,1,pass,532,
03-tariff-schedules\laos\35_schedule_LA.pdf,379,pass,12153,
03-tariff-schedules\malaysia\36_headnotes_MY.pdf,1,pass,1345,
03-tariff-schedules\malaysia\37_schedule_MY.pdf,244,pass,22532,
03-tariff-schedules\malaysia\37_schedule_MY_TRQ.pdf,1,pass,3131,
03-tariff-schedules\malaysia\38_appendix_MY.pdf,1,pass,500,
03-tariff-schedules\myanmar\39_headnotes_MM.pdf,1,pass,389,
03-tariff-schedules\myanmar\40_schedule_MM.pdf,453,pass,10045,
03-tariff-schedules\new-zealand\20_headnotes_NZ.pdf,1,pass,1113,
03-tariff-schedules\new-zealand\21_schedule_NZ.pdf,223,pass,25329,
03-tariff-schedules\philippines\41_headnotes_PH.pdf,1,pass,960,
03-tariff-schedules\philippines\42_schedule_PH_common.pdf,377,pass,11520,
03-tariff-schedules\philippines\44_schedule_PH_for_CN.pdf,11,pass,9275,
03-tariff-schedules\philippines\47_appendix_PH.pdf,2,pass,4800,
03-tariff-schedules\singapore\48_schedule_SG.pdf,1,pass,245,
03-tariff-schedules\south-korea\13_headnotes_KR.pdf,1,pass,1070,
03-tariff-schedules\south-korea\16_schedule_KR_for_CN.pdf,359,pass,21085,
03-tariff-schedules\south-korea\19_appendix_KR.pdf,3,pass,7075,
03-tariff-schedules\thailand\49_headnotes_TH.pdf,1,pass,1430,
03-tariff-schedules\thailand\50_schedule_TH.pdf,193,pass,22986,
03-tariff-schedules\thailand\51_appendix_TH.pdf,4,pass,7094,
03-tariff-schedules\vietnam\52_headnotes_VN.pdf,1,pass,1458,
03-tariff-schedules\vietnam\55_schedule_VN_for_CN.pdf,343,pass,12350,
03-tariff-schedules\vietnam\59_appendix_VN.pdf,4,pass,7443,
