country,schedule_file,pdf_page_1_based,matched_text,context_exact_text_extraction,source_kind,interpretation_warning
australia,03-tariff-schedules\australia\09_schedule_AU.pdf,102,8509.80 -Other appliances:,8509.40.00 -Food grinders and mixers; fruit or vegetable juice extractors 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8509.80 -Other appliances: | 8509.80.10 ---Floor polishers 5% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8509.80.90 ---Other 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8509.90.00 -Parts 5% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
australia,03-tariff-schedules\australia\09_schedule_AU.pdf,102,8509.80.10 ---Floor polishers 5% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,"8509.80 -Other appliances: | 8509.80.10 ---Floor polishers 5% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8509.80.90 ---Other 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8509.90.00 -Parts 5% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8510 SHAVERS, HAIR CLIPPERS AND HAIR-REMOVING APPLIANCES, WITH",official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
australia,03-tariff-schedules\australia\09_schedule_AU.pdf,102,8509.80.90 ---Other 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0%,"8509.80.10 ---Floor polishers 5% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8509.80.90 ---Other 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8509.90.00 -Parts 5% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% 0% | 8510 SHAVERS, HAIR CLIPPERS AND HAIR-REMOVING APPLIANCES, WITH | SELF-CONTAINED ELECTRIC MOTOR:",official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
brunei,03-tariff-schedules\brunei\23_schedule_BN.pdf,49,8509.80 - Other appliances:,5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80 - Other appliances: | 8509.80.10.00 - - Floor polishers 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.20.00 - - Kitchen waste disposers 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
brunei,03-tariff-schedules\brunei\23_schedule_BN.pdf,49,8509.80.10.00 - - Floor polishers 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,8509.80 - Other appliances: | 8509.80.10.00 - - Floor polishers 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.20.00 - - Kitchen waste disposers 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90 - Parts:,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
brunei,03-tariff-schedules\brunei\23_schedule_BN.pdf,49,8509.80.20.00 - - Kitchen waste disposers 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,8509.80.10.00 - - Floor polishers 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.20.00 - - Kitchen waste disposers 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90 - Parts: | 8509.90.10.00 - - Of goods of subheading 8509.80.10 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
brunei,03-tariff-schedules\brunei\23_schedule_BN.pdf,49,8509.80.90.00 - - Other 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,8509.80.20.00 - - Kitchen waste disposers 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.80.90.00 - - Other 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90 - Parts: | 8509.90.10.00 - - Of goods of subheading 8509.80.10 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90.90.00 - - Other 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
brunei,03-tariff-schedules\brunei\23_schedule_BN.pdf,49,8509.90.10.00 - - Of goods of subheading 8509.80.10 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0%,"8509.90 - Parts: | 8509.90.10.00 - - Of goods of subheading 8509.80.10 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8509.90.90.00 - - Other 5.0% 5.0% 5.0% 4.0% 4.0% 4.0% 3.0% 3.0% 3.0% 2.0% 2.0% 2.0% 1.0% 1.0% 1.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% 0.0% | 8510 Shavers, hair clippers and hair- | removing appliances, with self-",official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
cambodia,03-tariff-schedules\cambodia\25_schedule_KH.pdf,161,8509.80 - Other appliances:,heading 85.08.8509.40.00 - Food grinders and mixers; fruit or vegetable juice extractors 35 % U U U U U U U U U U U U U U U U U U U U | 8509.80 - Other appliances: | 8509.80.10 -- Floor polishers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.80.20 -- Kitchen waste disposers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.80.90 -- Other 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 %,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
cambodia,03-tariff-schedules\cambodia\25_schedule_KH.pdf,161,8509.80.10 -- Floor polishers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 %,8509.80 - Other appliances: | 8509.80.10 -- Floor polishers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.80.20 -- Kitchen waste disposers 35 % 35 % 32 % 29 % 26 % 23 % 20 % 17 % 14 % 11 % 8 % 5 % 3 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % 0 % | 8509.80.90 -- Other 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % 35 % | 8509.90 - Parts:,official RCEP Annex I tariff schedule,"Columns must be read with the importing party headnotes; schedule rates are commitments, not necessarily the current applied customs rate."
