"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","172907","85.1193","5.9043","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","276","Germany","19829","9.7615","18.6236","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","842","United States of America","2489","1.2253","-14.0909","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","704","Viet Nam","1438","0.7079","132.867","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","724","Spain","1170","0.576","13.3967","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","458","Malaysia","1061","0.5223","-7.632","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","381","Italy","916","0.4509","-8.5613","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","642","Romania","514","0.253","-7.9321","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","410","Korea, Republic of","514","0.253","15.9737","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","392","Japan","289","0.1423","35.6162","TM-036-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
