"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","8496","80.1736","20.0517","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","276","Germany","892","8.4175","12.591","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","392","Japan","328","3.0952","71.6683","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","348","Hungary","266","2.5101","50.0247","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","410","Korea, Republic of","166","1.5665","14.057","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","381","Italy","100","0.9437","37.973","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","458","Malaysia","82","0.7738","30.1003","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","826","United Kingdom","58","0.5473","125.2608","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","842","United States of America","52","0.4907","-13.7587","TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","757","Switzerland","41","0.3869",,"TM-608-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
