"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","19219","60.9006","13.1442","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","360","Indonesia","9006","28.5379","9.4498","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","276","Germany","1410","4.468","-1.7228","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","842","United States of America","591","1.8727","13.4832","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","458","Malaysia","477","1.5115","17.8311","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","344","Hong Kong, China","185","0.5862","57.6462","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","703","Slovakia","127","0.4024","69.7901","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","381","Italy","111","0.3517","0.5495","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","410","Korea, Republic of","109","0.3454","28.5917","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","528","Netherlands","78","0.2472","108.0717","TM-702-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
