"source_id","country_code","country_name","tool","dataset","indicator","hs_code","hs_level","period","trade_flow","reporter","partner","unit","data_source_mode","access_datetime","query_url","raw_file","sha256","source_note"
"TM-036-china_exports_bilateral-VAL","036","Australia","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Australia (036)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=036&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","australia\trade-map\china_exports_to_australia_hs850980_2020-2025_val.json","66e7896003e7ecc79e0f4f5479b13c81951204441ae3e0a453d9b864bf3c4644","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-036-target_import_imports_by_supplier-VAL","036","Australia","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Australia (036)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=036&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","australia\trade-map\australia_imports_from_world_hs850980_2020-2025_by_supplier_val.json","fa1f74217a9dac4894c1500219067752f3c8faf49b9d6ab3c83fa1a7bbd6363b","Australia Bureau of Statistics; http://www.abs.gov.au; since 2012"
"TM-036-china_exports_bilateral-QTY","036","Australia","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Australia (036)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=036&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","australia\trade-map\china_exports_to_australia_hs850980_2020-2025_qty.json","0c77c996cfaa6aeb6463d5b0951a4bc9e8637a493cc4d96a3fe70a47accc5154","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-036-target_import_imports_by_supplier-QTY","036","Australia","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Australia (036)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=036&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","australia\trade-map\australia_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","8066f1429f01236f8b638710e96b0103f481053db995441a5c26b4d2e41a7147","Australia Bureau of Statistics; http://www.abs.gov.au; since 2012"
"TM-096-china_exports_bilateral-VAL","096","Brunei Darussalam","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Brunei Darussalam (096)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=096&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","brunei\trade-map\china_exports_to_brunei_hs850980_2020-2025_val.json","3ded3bac2cd2bb22f101d6c1fe7bce86e0f1d4b736fbf2213e1f03b89a7b29b7","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-096-target_import_imports_by_supplier-VAL","096","Brunei Darussalam","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Brunei Darussalam (096)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=096&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","brunei\trade-map\brunei_imports_from_world_hs850980_2020-2025_by_supplier_val.json","29355df4d4e950152acfb5509e551c9be9aca407115d287bbcf314ea876ebf2e","Ministry of Finance of Economy - Department of Economic Planning and Statistics of Brunei Darussalam; https://deps.mofe.gov.bn/Theme/Home.aspx; since 2015"
"TM-096-china_exports_bilateral-QTY","096","Brunei Darussalam","ITC Trade Map beta","china_exports_bilateral","QTY","850980","HS6","2020-2025","exports","China (156)","Brunei Darussalam (096)","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=096&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6","brunei\trade-map\china_exports_to_brunei_hs850980_2020-2025_qty.json","60cddb3279cac269e4b0dbf2a4cb40e35902260ca32e232e201c966c7f0d635d","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-096-target_import_imports_by_supplier-QTY","096","Brunei Darussalam","ITC Trade Map beta","target_import_imports_by_supplier","QTY","850980","HS6","2020-2025","imports","Brunei Darussalam (096)","World (000), broken down by supplier","unit field in each observation, normally Tons","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=096&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=QTY&page=1&pageSize=500&sortBy=2025&sortDir=desc","brunei\trade-map\brunei_imports_from_world_hs850980_2020-2025_by_supplier_qty.json","b771021f2955ee57f5303ac4c646536b1e90db862f9deb7e5a6bff0902d474b7","Ministry of Finance of Economy - Department of Economic Planning and Statistics of Brunei Darussalam; https://deps.mofe.gov.bn/Theme/Home.aspx; since 2015"
"TM-116-china_exports_bilateral-VAL","116","Cambodia","ITC Trade Map beta","china_exports_bilateral","VAL","850980","HS6","2020-2025","exports","China (156)","Cambodia (116)","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byProduct?tradeFlow=E&country=156&partner=116&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=10&sortBy=2025&sortDir=desc&hsLevel=6&currency=USD","cambodia\trade-map\china_exports_to_cambodia_hs850980_2020-2025_val.json","5c3b9c98aa8f386e99d8e3cbc24b32c569b6d049cafa33f94d31c6e09942d3bd","General Customs Administration of China; http://www.customs.gov.cn; since 2015"
"TM-116-target_import_imports_by_supplier-VAL","116","Cambodia","ITC Trade Map beta","target_import_imports_by_supplier","VAL","850980","HS6","2020-2025","imports","Cambodia (116)","World (000), broken down by supplier","USD thousand","Direct (D)","2026-09-05T20:06:32+08:00","https://www.trademap.org/api/goods/timeSeries/yearly/byPartner?tradeFlow=I&country=116&partner=000&product=850980&periodFrom=2020&periodTo=2025&directMirror=D&indicator=VAL&page=1&pageSize=500&sortBy=2025&sortDir=desc&currency=USD","cambodia\trade-map\cambodia_imports_from_world_hs850980_2020-2025_by_supplier_val.json","362c0e2ddf24e06d417952d0003e42b36542774b44c46942c64a76b8cdf0d82c","General Department of Customs and Excise of Cambodia; http://www.customs.gov.kh/en_gb/; since 2016"
