"ntl_code","ntl_description","tariff_regime","applied_tariff","ad_valorem_equivalent","other_duties","tariff_year","hs_revision","agreement_id","fta_id","reference_data","max_mfn_duties_applied","raw_source_file"
"8509801000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Coffee grinders","MFN duties (Applied)","8%","8%",,"2026","HS Rev.2022","14","1341","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509801000.json"
"8509801000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Coffee grinders","Preferential tariff (RCEP) for China","4%","4%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509801000.json"
"8509801000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Coffee grinders","Preferential tariff for APTA countries","5.60%","5.60%",,"2026","HS Rev.2022","167","68","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509801000.json"
"8509801000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Coffee grinders","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","929","285","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509801000.json"
"8509802000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Ice grinders","MFN duties (Applied)","8%","8%",,"2026","HS Rev.2022","14","1341","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509802000.json"
"8509802000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Ice grinders","Preferential tariff (RCEP) for China","0%","0%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509802000.json"
"8509802000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Ice grinders","Preferential tariff for APTA countries","5.60%","5.60%",,"2026","HS Rev.2022","167","68","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509802000.json"
"8509802000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Ice grinders","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","929","285","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509802000.json"
"8509803000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","MFN duties (Applied)","8%","8%",,"2026","HS Rev.2022","14","1341","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509803000.json"
"8509803000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","Preferential tariff (RCEP) for China","0%","0%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509803000.json"
"8509803000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Floor polishers","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","929","285","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509803000.json"
"8509804000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","MFN duties (Applied)","8%","8%",,"2026","HS Rev.2022","14","1341","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509804000.json"
"8509804000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff (RCEP) for China","0%","0%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509804000.json"
"8509804000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Kitchen waste disposers","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","929","285","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509804000.json"
"8509809000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","MFN duties (Applied)","8%","8%",,"2026","HS Rev.2022","14","1341","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509809000.json"
"8509809000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","Preferential tariff (RCEP) for China","0%","0%",,"2026","HS Rev.2022","1267","103","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509809000.json"
"8509809000","Electromechanical domestic appliances, with self-contained electric motor (excl. vacuum cleaners, dry and wet vacuum cleaners, food grinders and mixers, fruit or vegetable juice extractors, and hair-removing appliances) : Other","Preferential tariff for China","0%","0%",,"2026","HS Rev.2022","929","285","Source : ITC (2026)","8%","south-korea\market-access-map\custom_duties_8509809000.json"
