"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","258500","84.1195","7.1986","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","764","Thailand","19601","6.3784","29.2551","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","381","Italy","9074","2.9528","-6.7916","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","348","Hungary","6995","2.2763","96.1346","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","276","Germany","6845","2.2275","0.5404","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","704","Viet Nam","1699","0.5529","7.2556","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","842","United States of America","1507","0.4904","1.4115","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","724","Spain","1417","0.4611","-4.6192","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","392","Japan","847","0.2756","1.2752","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","490","Chinese Taipei","418","0.136","-25.9392","TM-410-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
