"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"85098010","1","11","B320","Marking requirements","1","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098010.json"
"85098010","1","11","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098010.json"
"85098010","1","11","B700","Product quality, safety or performance requirement","3","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098010.json"
"85098010","1","11","B830","Certification requirement","3","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098010.json"
"85098010","1","11","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","2","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098010.json"
"85098010","1","11","E320","Prohibition for non-economic reasons","1","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098010.json"
"85098020","1","10","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098020.json"
"85098020","1","10","B700","Product quality, safety or performance requirement","3","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098020.json"
"85098020","1","10","B830","Certification requirement","3","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098020.json"
"85098020","1","10","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","2","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098020.json"
"85098020","1","10","E320","Prohibition for non-economic reasons","1","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098020.json"
"85098090","1","10","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098090.json"
"85098090","1","10","B700","Product quality, safety or performance requirement","3","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098090.json"
"85098090","1","10","B830","Certification requirement","3","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098090.json"
"85098090","1","10","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","2","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098090.json"
"85098090","1","10","E320","Prohibition for non-economic reasons","1","HS Rev.2012","NTM rev. 2019","2018","UNCTAD","cambodia\market-access-map\ntm_measures_85098090.json"
