"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","290","75.3247","67.4924","TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","490","Chinese Taipei","45","11.6883",,"TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","528","Netherlands","14","3.6364",,"TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","764","Thailand","14","3.6364",,"TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","381","Italy","9","2.3377","-17.8124","TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","251","France","4","1.039",,"TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","704","Viet Nam","3","0.7792",,"TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","842","United States of America","2","0.5195","0","TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","036","Australia","1","0.2597",,"TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","276","Germany","1","0.2597","-27.522","TM-116-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
