reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,2016 (USD Thousand),2017 (USD Thousand),2018 (USD Thousand),2019 (USD Thousand),2020 (USD Thousand),2021 (USD Thousand),2022 (USD Thousand),2023 (USD Thousand),2024 (USD Thousand),2025 (USD Thousand)
156,China,000,World,TOTAL,All Products,2118980582,2271796142,2494230195,2498334248,2588402392,3361814264,3593601450,3388716312,3575457663,3776380766
156,China,000,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",557061947,598974916,664425033,670448478,709932704,898959878,954783812,899043465,927963128,1016578370
156,China,000,World,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",344804517,382926132,429953148,416636765,440020920,547585389,551950811,512000300,568314507,603818632
156,China,000,World,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",60416649,67358135,75094321,74305756,76223938,120021475,150235440,192698137,216060764,248309240
156,China,000,World,39,Plastics and articles thereof,64035659,70645690,80135877,84157225,96378231,131074406,143529368,132467055,141261006,142011089
156,China,000,World,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",89500005,89816692,96416994,99063088,109366915,139481266,130893407,121033004,126398944,117762215
156,China,000,World,99,Commodities not elsewhere specified,5890469,6204745,5279261,17066395,24996277,37283047,45926982,65515243,92030386,117329665
156,China,000,World,73,Articles of iron or steel,53101329,57301335,65558408,69263325,71017191,95509060,110312642,97916888,100147403,107781041
156,China,000,World,29,Organic chemicals,42177868,49731545,59795623,56779678,56953837,82584052,101887171,77916978,82648035,84249033
156,China,000,World,61,"Articles of apparel and clothing accessories, knitted or crocheted",75026960,71972535,73525495,71352803,62227841,86457923,90942324,83043315,85367462,81727487
156,China,000,World,95,"Toys, games and sports requisites; parts and accessories thereof",44752051,55259517,56730622,62444707,71523831,101848964,103325605,89094685,82466637,78381838
156,China,000,World,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",67870303,70648126,71444014,72938835,80226837,97486304,70257758,69753522,72490886,77559399
156,China,000,World,72,Iron and steel,43413076,43073950,46917053,39414700,33395753,66984738,77264814,69350367,70845298,72090250
156,China,000,World,62,"Articles of apparel and clothing accessories, not knitted or crocheted",72766740,73591016,71448039,66663157,62275544,70099298,76874394,70864118,67818973,63953639
156,China,000,World,89,"Ships, boats and floating structures",22538032,22905178,25005463,24500079,21740380,24722464,26416703,31973176,49719834,63772746
156,China,000,World,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",26849906,35453364,46630492,45964483,30739612,41191732,64367716,61247077,54152886,51467077
156,China,000,World,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",21160671,17779989,20117183,20600645,18438549,29332163,30096749,31612482,35941932,51374520
156,China,000,World,64,"Footwear, gaiters and the like; parts of such articles",47803884,48437783,47135169,47699564,38111193,51674811,62020064,53326900,50999681,46179279
156,China,000,World,76,Aluminium and articles thereof,21315169,22642422,27077282,26077777,24589848,34711889,42109007,34977730,39567464,40105365
156,China,000,World,40,Rubber and articles thereof,18874826,20686033,22276120,22139941,22530728,31128346,31472698,33617301,35994434,36806786
156,China,000,World,63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,25724646,26469444,27848983,27890091,75584824,41857184,37667401,33458233,34471207,33513120
156,China,000,World,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",28046821,29118206,29703611,29441775,22669989,30841563,38712702,38782282,36983669,32037638
156,China,000,World,38,Miscellaneous chemical products,13541852,16242714,18141959,17077188,22152577,28425929,47496013,32625625,29287632,31289569
156,China,000,World,54,Man-made filaments; strip and the like of man-made textile materials,16596860,17977467,20499924,22192465,18190689,25579984,29583672,28715676,29663259,29694256
156,China,000,World,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",18172106,18417668,19460628,21868030,20880976,24165819,31632175,29245966,29793370,29031510
156,China,000,World,96,Miscellaneous manufactured articles,15086477,15649282,16490178,17956104,18459148,23169154,26839426,27621347,29189731,27766041
156,China,000,World,83,Miscellaneous articles of base metal,16340854,17480373,18633797,19521248,20170940,27023447,28718689,26350351,27337541,26209182
156,China,000,World,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",12294727,15023743,20183227,16839453,15204049,23602159,39407462,34316932,26544175,25531763
156,China,000,World,60,Knitted or crocheted fabrics,14467683,16509475,18164493,18657912,16268816,23109338,23898300,21572967,23778941,24958917
156,China,000,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",13546025,15076320,16365548,16621727,17164458,23196436,24088183,23692430,25015776,24530769
156,China,000,World,70,Glass and glassware,15609987,15850008,16859044,17852939,18340507,23848853,26656232,25580873,25547611,24168773
156,China,000,World,69,Ceramic products,19420436,19997449,22369944,25119909,25113297,30695409,32475449,26502088,22019064,21266331
156,China,000,World,74,Copper and articles thereof,5822738,6470535,6948149,6780859,6172481,10474133,10679716,10055934,14035033,18935482
