reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share World (%),Ranking,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value World 5Y (%)
156,China,000,World,TOTAL,All Products,3776380766,1197126430,14.74633,1,2,6,3
156,China,000,World,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",972389965,382296750,24.44695,1,1,10,3
156,China,000,World,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",625493962,357466772,18.80962,1,3,6,7
156,China,000,World,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",257118777,208677521,13.52697,2,21,15,6
156,China,000,World,39,Plastics and articles thereof,142011089,85529318,19.15334,1,1,1,-2
156,China,000,World,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",118131843,116022445,37.9794,1,-4,-7,-1
156,China,000,World,99,Commodities not elsewhere specified,117329665,108789900,12.38892,3,35,27,2
156,China,000,World,73,Articles of iron or steel,108548370,99271297,27.45029,1,2,8,2
156,China,000,World,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",88645861,4090139,11.74541,3,-1,8,3
156,China,000,World,29,Organic chemicals,84249033,34653263,16.33937,1,-2,2,-1
156,China,000,World,61,"Articles of apparel and clothing accessories, knitted or crocheted",81727487,77985191,28.33223,1,-2,-4,1
156,China,000,World,95,"Toys, games and sports requisites; parts and accessories thereof",80760858,75587135,47.80297,1,-7,-5,-2
156,China,000,World,72,Iron and steel,72090250,41229899,16.7974,1,1,2,-6
156,China,000,World,62,"Articles of apparel and clothing accessories, not knitted or crocheted",63953639,58168094,24.87851,1,-3,-6,2
156,China,000,World,89,"Ships, boats and floating structures",63772746,62722971,34.78536,1,29,28,4
156,China,000,World,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",51467077,-391480050,2.071252,15,3,-5,-1
156,China,000,World,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",51374527,-66642326,3.733543,6,14,43,12
156,China,000,World,64,"Footwear, gaiters and the like; parts of such articles",46179279,40482812,25.46386,1,-4,-9,2
156,China,000,World,76,Aluminium and articles thereof,40105365,23187541,15.25452,1,2,1,1
156,China,000,World,38,Miscellaneous chemical products,37241402,16160011,14.04061,1,3,3,-4
156,China,000,World,40,Rubber and articles thereof,36806786,16236178,15.74706,1,5,2,0
156,China,000,World,63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,33513120,33191732,41.9332,1,-5,-3,-4
156,China,000,World,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",32037638,26329826,32.61189,1,0,-13,2
156,China,000,World,54,Man-made filaments; strip and the like of man-made textile materials,29694256,27936023,55.92535,1,3,0,-1
156,China,000,World,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",29031510,23132660,15.39949,1,3,-3,0
156,China,000,World,96,Miscellaneous manufactured articles,27766041,26639607,42.07838,1,5,-5,2
156,China,000,World,83,Miscellaneous articles of base metal,26209182,24553605,30.30019,1,-1,-4,1
156,China,000,World,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",25531763,5883177,14.02038,1,-2,-4,2
156,China,000,World,60,Knitted or crocheted fabrics,24958917,24407399,62.37159,1,2,5,-2
156,China,000,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",24530769,21878597,32.22269,1,2,-2,0
156,China,000,World,70,Glass and glassware,24168773,17623930,27.02593,1,0,-5,0
156,China,000,World,69,Ceramic products,21266331,19843155,34.25999,1,-11,-3,-2
156,China,000,World,74,Copper and articles thereof,18935482,-55690274,7.223855,3,16,35,4
156,China,000,World,86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",18096310,17178648,34.54716,1,-6,-13,4
156,China,000,World,44,Wood and articles of wood; wood charcoal,16343194,398824,10.51535,1,-4,0,-5
156,China,000,World,30,Pharmaceutical products,15609743,-28215505,1.564147,15,-21,14,5
156,China,000,World,55,Man-made staple fibres,14124400,12760141,42.45553,1,2,-1,-2
156,China,000,World,31,Fertilisers,13487839,8610387,13.23728,2,0,59,-1
156,China,000,World,07,Edible vegetables and certain roots and tubers,11166112,8296374,11.65994,1,4,-10,6
156,China,000,World,52,Cotton,10914918,5295194,22.60615,1,-6,1,-7
156,China,000,World,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",10826399,-9108590,7.180616,2,-2,5,2
156,China,000,World,16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or of insects",10679163,10008568,16.8538,1,-2,-3,3
156,China,000,World,68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",10427754,8518587,17.6188,1,-9,-9,0
156,China,000,World,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",10095133,4835997,11.30296,2,-1,-4,-1
156,China,000,World,59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",9956497,8737284,34.98681,1,1,0,1
156,China,000,World,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,9169280,7639919,70.96301,1,-8,-11,-1
156,China,000,World,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ‘dental waxes’ and dental preparations with a basis of plaster",9120914,3469959,10.68618,2,11,14,3
156,China,000,World,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",9036558,-7311287,4.573403,8,9,7,5
156,China,000,World,20,"Preparations of vegetables, fruit, nuts or other parts of plants",8646195,6110543,9.28129,1,0,-5,8
156,China,000,World,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",8313931,7178472,26.40091,1,0,4,0
156,China,000,World,08,Edible fruit and nuts; peel of citrus fruit or melons,8100149,-12589972,4.505034,7,8,12,6
156,China,000,World,21,Miscellaneous edible preparations,7323428,-988585,5.704389,4,5,11,9
156,China,000,World,88,"Aircraft, spacecraft, and parts thereof",6769639,-12635322,3.242845,7,20,3,11
156,China,000,World,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,6243974,5992675,49.38512,1,2,2,0
156,China,000,World,65,Headgear and parts thereof,5800292,5518070,37.61051,1,-1,-4,2
156,China,000,World,35,Albuminoidal substances; modified starches; glues; enzymes,5296186,728697,11.84456,3,4,7,2
156,China,000,World,91,Clocks and watches and parts thereof,4854876,1582906,7.804854,3,1,-2,3
156,China,000,World,81,Other base metals; cermets; articles thereof,4838954,1103087,19.23906,1,-3,-10,2
156,China,000,World,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",4647154,-10554918,2.725667,9,16,12,2
156,China,000,World,57,Carpets and other textile floor coverings,4331809,4244058,24.38317,1,4,-1,-1
156,China,000,World,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",4027824,2150506,11.45505,1,-2,-5,-2
156,China,000,World,23,Residues and waste from the food industries; prepared animal fodder,3974321,-2960721,3.719233,7,3,-10,2
156,China,000,World,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",3736785,-53285347,2.876405,6,6,5,-2
156,China,000,World,75,Nickel and articles thereof,3500557,-10724807,8.069165,3,61,23,4
156,China,000,World,09,"Coffee, tea, maté and spices",3458894,657427,3.620359,8,-4,-3,12
156,China,000,World,17,Sugars and sugar confectionery,3456026,436012,5.500598,3,15,3,7
156,China,000,World,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",3401395,-6101318,5.457403,1,-5,5,1
156,China,000,World,22,"Beverages, spirits and vinegar",3311196,-1765230,2.182557,11,13,4,2
156,China,000,World,26,"Ores, slag and ash",3168867,-266178555,0.8527796,18,-7,-20,-1
