"country_code","country_name","china_export_years_available","destination_import_years_available","destination_import_2025_available","tariff_rows","ntm_summary_rows","official_epi_record","notes"
"036","Australia","6","6","True","2","0","True",""
"096","Brunei Darussalam","6","6","True","3","0","True",""
"116","Cambodia","6","6","True","6","16","True",""
"360","Indonesia","6","6","True","9","0","True",""
"392","Japan","6","6","True","1","13","True",""
"410","Korea, Republic of","6","6","True","17","89","True",""
"418","Lao People's Democratic Republic","6","4","False","6","0","True","Destination direct import values missing for 2024-2025"
"458","Malaysia","6","6","True","7","9","True",""
"104","Myanmar","6","5","False","9","0","True","Destination direct import value missing for 2025"
"554","New Zealand","6","6","True","6","16","True",""
"608","Philippines","6","6","True","9","45","True",""
"702","Singapore","6","6","True","3","6","True",""
"764","Thailand","6","6","True","6","15","True",""
"704","Viet Nam","6","5","False","6","27","True","Destination direct import value missing for 2025"
