"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","24707","94.2871","-6.1881","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","490","Chinese Taipei","331","1.2632","47.7563","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","344","Hong Kong, China","219","0.8358","10.9942","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","410","Korea, Republic of","166","0.6335","2.6009","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","348","Hungary","147","0.561","34.0194","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","702","Singapore","109","0.416","-16.6527","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","458","Malaysia","98","0.374","41.9565","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","528","Netherlands","91","0.3473","6.6349","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","276","Germany","63","0.2404","60.0434","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","704","Viet Nam","59","0.2252","9.1977","TM-360-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
