"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"850980000","1","30","B310","Labelling requirements","2","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B410","TBT regulations on production processes","2","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B420","TBT regulations on transport and storage","2","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B490","Production or post-production requirements, n.e.s.","2","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B700","Product-quality, safety or -performance requirement","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B820","Testing requirement","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B830","Certification requirement","4","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B850","Traceability requirements","2","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B859","Traceability requirements, n.e.s.","3","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","B890","Conformity assessment related to TBT, n.e.s.","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","C400","Import-monitoring, surveillance and automatic licensing measures","3","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
"850980000","1","30","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","6","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","japan\market-access-map\ntm_measures_850980000.json"
