"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","392167","73.8088","-4.245","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","764","Thailand","52265","9.8367","25.1541","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","458","Malaysia","30532","5.7464","-14.6168","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","410","Korea, Republic of","28092","5.2871","0.0542","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","276","Germany","20192","3.8003","2.0196","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","528","Netherlands","2896","0.545","125.1986","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","704","Viet Nam","2799","0.5268","-5.8223","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","642","Romania","523","0.0984","-20.1091","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","842","United States of America","470","0.0885","-15.9426","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","490","Chinese Taipei","391","0.0736","-47.3199","TM-392-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
