"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","18061","86.1073","27.2321","TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","056","Belgium","612","2.9178",,"TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","702","Singapore","486","2.317","149.766","TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","528","Netherlands","367","1.7497","161.5224","TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","276","Germany","350","1.6687","-8.1708","TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","642","Romania","260","1.2396","35.4627","TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","699","India","216","1.0298","75.4293","TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","348","Hungary","135","0.6436",,"TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","705","Slovenia","131","0.6246","165.1272","TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","608","Philippines","119","0.5673",,"TM-458-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
