"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"85098001","1","4","B310","Labelling requirements","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098001.json"
"85098001","1","4","B700","Product-quality, safety or -performance requirement","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098001.json"
"85098001","1","4","B890","Conformity assessment related to TBT, n.e.s.","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098001.json"
"85098001","1","4","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098001.json"
"85098009","1","4","B310","Labelling requirements","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098009.json"
"85098009","1","4","B700","Product-quality, safety or -performance requirement","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098009.json"
"85098009","1","4","B890","Conformity assessment related to TBT, n.e.s.","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098009.json"
"85098009","1","4","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098009.json"
"85098019","1","4","B310","Labelling requirements","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098019.json"
"85098019","1","4","B700","Product-quality, safety or -performance requirement","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098019.json"
"85098019","1","4","B890","Conformity assessment related to TBT, n.e.s.","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098019.json"
"85098019","1","4","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098019.json"
"85098029","1","4","B310","Labelling requirements","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098029.json"
"85098029","1","4","B700","Product-quality, safety or -performance requirement","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098029.json"
"85098029","1","4","B890","Conformity assessment related to TBT, n.e.s.","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098029.json"
"85098029","1","4","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2018","2016","UNCTAD","new-zealand\market-access-map\ntm_measures_85098029.json"
