"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","18944","68.3332","2.9249","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","842","United States of America","4491","16.1995","4.3603","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","276","Germany","1692","6.1032","-7.2042","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","381","Italy","884","3.1887","-3.3279","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","458","Malaysia","754","2.7198","52.6392","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","036","Australia","405","1.4609","-6.2419","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","826","United Kingdom","164","0.5916","12.014","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","344","Hong Kong, China","96","0.3463","116.8944","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","764","Thailand","86","0.3102","28.03","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","642","Romania","42","0.1515","-30.3913","TM-554-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
