"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"85098010","1","30","B310","Labelling requirements","6","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","B410","TBT regulations on production processes","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","B420","TBT regulations on transport and storage","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","B700","Product-quality, safety or -performance requirement","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","B820","Testing requirement","5","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","B830","Certification requirement","3","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","B840","Inspection requirement","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","B859","Traceability requirements, n.e.s.","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","6","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","E320","Prohibition for non-economic reasons","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","1","30","G190","Advance payment requirements, n.e.s.","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","3","7","B320","Marking requirements","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","3","7","C900","Other formalities, n.e.s.","3","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","3","7","G130","Advance payment of customs duties","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098010","3","7","H000","Measures affecting competition","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098010.json"
"85098020","1","30","B310","Labelling requirements","6","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","B410","TBT regulations on production processes","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","B420","TBT regulations on transport and storage","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","B700","Product-quality, safety or -performance requirement","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","B820","Testing requirement","5","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","B830","Certification requirement","3","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","B840","Inspection requirement","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","B859","Traceability requirements, n.e.s.","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","6","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","E320","Prohibition for non-economic reasons","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","1","30","G190","Advance payment requirements, n.e.s.","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","3","7","B320","Marking requirements","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","3","7","C900","Other formalities, n.e.s.","3","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","3","7","G130","Advance payment of customs duties","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098020","3","7","H000","Measures affecting competition","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098020.json"
"85098090","1","30","B310","Labelling requirements","6","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","B410","TBT regulations on production processes","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","B420","TBT regulations on transport and storage","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","B700","Product-quality, safety or -performance requirement","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","B820","Testing requirement","5","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","B830","Certification requirement","3","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","B840","Inspection requirement","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","B859","Traceability requirements, n.e.s.","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","6","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","E320","Prohibition for non-economic reasons","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","1","30","G190","Advance payment requirements, n.e.s.","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","3","7","B320","Marking requirements","2","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","3","7","C900","Other formalities, n.e.s.","3","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","3","7","G130","Advance payment of customs duties","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
"85098090","3","7","H000","Measures affecting competition","1","HS Rev.2017","NTM rev. 2018","2018","UNCTAD","philippines\market-access-map\ntm_measures_85098090.json"
