"source_id","country","dataset","publisher","tool","accessed_at","url","query_parameters","exporter","product_input","itc_product","raw_file","sha256","note"
"EPM-ALL-ENC","_shared","Encrypted transport response: China HS850980 all markets","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","China (156)","China Customs 85098090.00","850980","_shared\export-potential-map\china_hs850980_all_markets_epi.transport-response.b64","4b2681549517ac700a2465d4ee093a605aae60a6a96d64c175f63e2ea626606e","Exact Base64 response returned by ITC API."
"EPM-ALL-DEC","_shared","Decoded official response: China HS850980 all markets","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","China (156)","China Customs 85098090.00","850980","_shared\export-potential-map\china_hs850980_all_markets_epi.decoded.json","2b0974f27c48b7ae303bfecac6dc628d8ae9023076c7400f785a3588b59b01b5","Decoded with AES-CBC logic published in the official EPM frontend; values unchanged."
"EPM-PROD-ENC","_shared","Encrypted transport response: EPM product reference","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/products","/api/en/products","China (156)","China Customs 85098090.00","850980","_shared\export-potential-map\epm_product_reference.transport-response.b64","b564d136edf995c6f7e05fe2767376067bef4e48077ff07155ed62ae22a7521d","Exact Base64 response returned by ITC API."
"EPM-PROD-DEC","_shared","Decoded EPM product reference","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/products","/api/en/products","China (156)","China Customs 85098090.00","850980","_shared\export-potential-map\epm_product_reference.decoded.json","c1b9263e2b2e34aeb65ec6668408281858d3314f1195b64790f4d7df72f3d74d","Decoded with official frontend logic; values unchanged."
"EPM-CTRY-ENC","_shared","Encrypted transport response: EPM country reference","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/countries","/api/en/countries","China (156)","China Customs 85098090.00","850980","_shared\export-potential-map\epm_country_reference.transport-response.b64","41a942d5943703e0a5c19668b427151558991556364f463156bca6529d445558","Exact Base64 response returned by ITC API."
"EPM-CTRY-DEC","_shared","Decoded EPM country reference","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/countries","/api/en/countries","China (156)","China Customs 85098090.00","850980","_shared\export-potential-map\epm_country_reference.decoded.json","587deea7986fc9f40aff8165a73e4a6c06ebc97e891d1d446c3a446aa6eebbf0","Decoded with official frontend logic; used only as a code-to-name reference."
"EPM-036","australia","Official EPI record for China-product-market","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","from=i/156;to=j/all;what=k/850980;selected_market=036","China (156)","China Customs 85098090.00","850980","australia\export-potential-map\official_epi_record_hs850980.json","e5645e4ab4686761f733979f933e34f143bbbd3e728e34e542b6ae818cad7df3","Selection-only extract from decoded all-markets response; no field changed. value=EPI; exportValue=baseline exports; gap and realizedPotential are official ratios."
"EPM-096","brunei","Official EPI record for China-product-market","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","from=i/156;to=j/all;what=k/850980;selected_market=096","China (156)","China Customs 85098090.00","850980","brunei\export-potential-map\official_epi_record_hs850980.json","b8904135efd68d57c2435e46012ea0b139c603f47ec0881ec5fc036ec441ac45","Selection-only extract from decoded all-markets response; no field changed. value=EPI; exportValue=baseline exports; gap and realizedPotential are official ratios."
"EPM-116","cambodia","Official EPI record for China-product-market","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","from=i/156;to=j/all;what=k/850980;selected_market=116","China (156)","China Customs 85098090.00","850980","cambodia\export-potential-map\official_epi_record_hs850980.json","3eabf9d8604667234a48d983ed5580341fc6405274580bb95c03cb05dfda6805","Selection-only extract from decoded all-markets response; no field changed. value=EPI; exportValue=baseline exports; gap and realizedPotential are official ratios."
"EPM-360","indonesia","Official EPI record for China-product-market","International Trade Centre (ITC)","Export Potential Map","2026-09-05T20:03:49+08:00","https://exportpotential.intracen.org/api/en/epis/markets/from/i/156/to/j/all/what/k/850980","from=i/156;to=j/all;what=k/850980;selected_market=360","China (156)","China Customs 85098090.00","850980","indonesia\export-potential-map\official_epi_record_hs850980.json","3630aa9e1fe443166de71a7c32e2589e8b9d6855733504bed1d729e72f0b7b05","Selection-only extract from decoded all-markets response; no field changed. value=EPI; exportValue=baseline exports; gap and realizedPotential are official ratios."
