"source_id","country","dataset","publisher","tool","accessed_at","url","query_parameters","exporter","product_input","itc_hs6","raw_file","sha256","note"
"MACMAP-1","australia","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=036&level=6&code=850980","countryCode=036&level=6&code=850980","China (156)","China Customs 85098090.00","850980","australia\market-access-map\destination_ntl_under_hs850980.json","b077224c9df849c5de20ab90a86615899bd23d86fdd83ab34935b8ba94040d5e","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-2","australia","custom_duties_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=036&partner=156&product=85098010","reporter=036&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","australia\market-access-map\custom_duties_85098010.json","c4c8e8237ad3fd79303659227fb14124808630e7eadd6ca1d2042c1aa2ca7f21","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-3","australia","ntm_measures_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=036&partner=156&product=85098010","reporter=036&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","australia\market-access-map\ntm_measures_85098010.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-4","australia","custom_duties_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=036&partner=156&product=85098090","reporter=036&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","australia\market-access-map\custom_duties_85098090.json","7adb9c796f41c6b03cc6c9f5f31b96346ee1e3b8f4f6723ee4cefb1bb6c3166d","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-5","australia","ntm_measures_85098090.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=036&partner=156&product=85098090","reporter=036&partner=156&product=85098090","China (156)","China Customs 85098090.00","850980","australia\market-access-map\ntm_measures_85098090.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-6","brunei","destination_ntl_under_hs850980.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/v2/ntlc-products?countryCode=096&level=6&code=850980","countryCode=096&level=6&code=850980","China (156)","China Customs 85098090.00","850980","brunei\market-access-map\destination_ntl_under_hs850980.json","9cee23c77023c627ca70c912b89edae21975d992a997e6bf6bab1756d502f8d4","Destination national tariff lines returned by ITC for HS6 850980."
"MACMAP-7","brunei","custom_duties_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=096&partner=156&product=85098010","reporter=096&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","brunei\market-access-map\custom_duties_85098010.json","805ce6c21e89f327f756adc901d8a1f33feeec1c68666cf47c5dadea09bbded6","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-8","brunei","ntm_measures_85098010.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=096&partner=156&product=85098010","reporter=096&partner=156&product=85098010","China (156)","China Customs 85098090.00","850980","brunei\market-access-map\ntm_measures_85098010.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
"MACMAP-9","brunei","custom_duties_85098020.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/customduties?reporter=096&partner=156&product=85098020","reporter=096&partner=156&product=85098020","China (156)","China Customs 85098090.00","850980","brunei\market-access-map\custom_duties_85098020.json","1842622afaac1a78cae63a3230002ebe54f7e3c9e0c010ca879b3240a67a9f30","Current applicable customs duty response; includes tariff regime, year and HS revision."
"MACMAP-10","brunei","ntm_measures_85098020.json","International Trade Centre (ITC)","Market Access Map","2026-09-05T19:42:36+08:00","https://www.macmap.org/api/results/ntm-measures?reporter=096&partner=156&product=85098020","reporter=096&partner=156&product=85098020","China (156)","China Customs 85098090.00","850980","brunei\market-access-map\ntm_measures_85098020.json","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","NTM response; includes measure codes, counts, year, classification and source."
