"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"8509801000","1","30","A150","Authorization requirement for importers for SPS reasons","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","A490","Hygienic requirements, n.e.s.","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","A640","Storage and transport conditions","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","A820","Testing requirement","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","A851","Origin of materials and parts","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","A853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","A859","Traceability requirements, n.e.s.","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B220","Restricted use of certain substances","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B310","Labelling requirements","4","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B330","Packaging requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B420","TBT regulations on transport and storage","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B490","Production or post-production requirements, n.e.s.","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B700","Product quality, safety or performance requirement","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B820","Testing requirement","3","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B850","Traceability requirements","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B851","Origin of materials and parts","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B853","Distribution and location of products after delivery","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","B859","Traceability requirements, n.e.s.","4","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","C400","Import monitoring, surveillance and automatic licensing measures","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","30","E100","Non-automatic import-licensing procedures other than authorizations covered under SPS and TBT chapters","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509801000.json"
"8509802000","1","36","A150","Authorization requirement for importers for SPS reasons","2","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","A490","Hygienic requirements, n.e.s.","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","36","A640","Storage and transport conditions","1","HS Rev.2012","NTM rev. 2019","2016","UNCTAD","south-korea\market-access-map\ntm_measures_8509802000.json"
