"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"85098010","1","5","B310","Labelling requirements","2","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098010.json"
"85098010","1","5","B853","Distribution and location of products after delivery","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098010.json"
"85098010","1","5","C300","Requirement to pass through specified port of customs","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098010.json"
"85098010","1","5","E323","Prohibition for the protection of environment","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098010.json"
"85098010","3","2","E110","Licensing for economic reasons","2","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098010.json"
"85098020","1","5","B310","Labelling requirements","2","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098020.json"
"85098020","1","5","B853","Distribution and location of products after delivery","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098020.json"
"85098020","1","5","C300","Requirement to pass through specified port of customs","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098020.json"
"85098020","1","5","E323","Prohibition for the protection of environment","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098020.json"
"85098020","3","2","E110","Licensing for economic reasons","2","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098020.json"
"85098090","1","5","B310","Labelling requirements","2","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098090.json"
"85098090","1","5","B853","Distribution and location of products after delivery","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098090.json"
"85098090","1","5","C300","Requirement to pass through specified port of customs","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098090.json"
"85098090","1","5","E323","Prohibition for the protection of environment","1","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098090.json"
"85098090","3","2","E110","Licensing for economic reasons","2","HS Rev.2017","NTM rev. 2019","2021","UNCTAD","thailand\market-access-map\ntm_measures_85098090.json"
