"rank_2025","supplier_code","supplier_name","import_value_2025_usd_thousand","share_2025_pct","cagr_2020_2025_pct","source_ids"
"1","156","China","27763","91.086","5.6641","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"2","276","Germany","1762","5.7808","20.905","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"3","699","India","244","0.8005","161.3798","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"4","842","United States of America","159","0.5217","-18.7849","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"5","392","Japan","88","0.2887","-11.3801","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"6","381","Italy","68","0.2231","-6.0698","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"7","757","Switzerland","60","0.1969","126.7933","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"8","642","Romania","53","0.1739","6.8805","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"9","410","Korea, Republic of","44","0.1444","-43.6437","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
"10","704","Viet Nam","40","0.1312","3.9224","TM-764-target_import_imports_by_supplier-VAL;TM-COUNTRY-REF"
