"ntl_code","measure_direction","total_measures","measure_code","measure_title","measure_count","hs_revision","ntm_classification","ntm_year","data_source","raw_source_file"
"8509801000","1","11","B310","Labelling requirements","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","11","B830","Certification requirement","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","11","B840","Inspection requirement","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","11","B890","Conformity assessment related to TBT, n.e.s.","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","11","E316","Prohibition of used, repaired or remanufactured goods","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","11","E323","Prohibition for the protection of environment","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","1","11","H900","Measures affecting competitions, n.e.s.","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","3","2","C900","Other formalities, n.e.s.","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509801000","3","2","G900","Finance measures, n.e.s.","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509801000.json"
"8509802000","1","11","B310","Labelling requirements","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","11","B830","Certification requirement","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","11","B840","Inspection requirement","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","11","B890","Conformity assessment related to TBT, n.e.s.","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","11","E316","Prohibition of used, repaired or remanufactured goods","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","11","E323","Prohibition for the protection of environment","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","1","11","H900","Measures affecting competitions, n.e.s.","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","3","2","C900","Other formalities, n.e.s.","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509802000","3","2","G900","Finance measures, n.e.s.","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509802000.json"
"8509809000","1","11","B310","Labelling requirements","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","11","B830","Certification requirement","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","11","B840","Inspection requirement","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","11","B890","Conformity assessment related to TBT, n.e.s.","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","11","E316","Prohibition of used, repaired or remanufactured goods","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","11","E323","Prohibition for the protection of environment","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","1","11","H900","Measures affecting competitions, n.e.s.","2","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","3","2","C900","Other formalities, n.e.s.","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
"8509809000","3","2","G900","Finance measures, n.e.s.","1","HS Rev.2022","NTM rev. 2019","2025","UNCTAD","vietnam\market-access-map\ntm_measures_8509809000.json"
