rank,country,coverage_status,topsis_screen_score,imports_2025_usd_thousand,import_cagr_2020_2025_pct,china_share_2025_pct,china_rank_2025,epi_potential_usd,untapped_potential_usd,applied_tariff_pct,source_ids
1,Japan,complete,0.7031,531328,-3.5686,73.8088,1,643300726.23,217232459.56,0,"TM-392-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-392"
2,"Korea, Republic of",complete,0.6522,307301,7.1221,84.1195,1,459297134.69,160140834.69,0,"TM-410-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-410"
3,Australia,complete,0.4857,203135,6.1031,85.1193,1,209248488.47,63159688.47,0,"TM-036-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-036"
4,Malaysia,complete,0.4208,20975,27.1392,86.1073,1,63004636.178,15417102.845,0,"TM-458-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-458"
5,Indonesia,complete,0.4099,26204,-5.8077,94.2871,1,64317572.836,28717772.836,0,"TM-360-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-360"
6,Singapore,complete,0.2853,31558,10.2328,60.9006,1,62440491.812,23770125.145,0,"TM-702-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-702"
7,Philippines,complete,0.2701,10597,14.6478,80.1736,1,26755649.923,8524183.256,0,"TM-608-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-608"
8,Thailand,complete,0.2581,30480,4.0693,91.0860,1,49336387.734,15556854.401,0,"TM-764-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-764"
9,"New Zealand",complete,0.2483,27723,1.3103,68.3332,1,34623864.675,18916131.342,0,"TM-554-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-554"
10,Indonesia,complete,0.2432,26204,-5.8077,94.2871,1,64317572.836,28717772.836,0,"TM-360-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-360"
11,"Brunei Darussalam",complete,0.1667,207,-16.6316,54.5894,1,815186.31433,407719.64766,0,"TM-096-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-096"
,,insufficient_trade_coverage,,,,,,,,,"TM-418-target_import_imports_by_supplier-VAL;EPM-418"
,,insufficient_trade_coverage,,,,,,,,,"TM-104-target_import_imports_by_supplier-VAL;EPM-104"
,,insufficient_trade_coverage,,,,,,,,,"TM-704-target_import_imports_by_supplier-VAL;EPM-704"
