"rank","country_code","country_name","strategy_topsis_score","equal_weight_rank","equal_weight_score","entropy_weight_rank","entropy_topsis_score","imports_2025_usd_thousand","import_cagr_2020_2025_pct","china_share_2025_pct","epi_potential_usd","untapped_potential_usd","untapped_ratio","source_ids"
"1","410","Korea, Republic of","0.732848","1","0.631818","4","0.564216","307301","7.1221","84.1195","459297134.69","160140834.69","0.348665","TM-410-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-410"
"2","392","Japan","0.718998","4","0.568191","6","0.503785","531328","-3.5686","73.8088","643300726.23","217232459.56","0.337684","TM-392-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-392"
"3","036","Australia","0.660672","3","0.578655","5","0.505207","203135","6.1031","85.1193","209248488.47","63159688.47","0.301841","TM-036-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-036"
"4","554","New Zealand","0.635528","5","0.556568","2","0.59013","27723","1.3103","68.3332","34623864.675","18916131.342","0.546332","TM-554-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-554"
"5","360","Indonesia","0.633736","2","0.596738","3","0.574053","26204","-5.8077","94.2871","64317572.836","28717772.836","0.4465","TM-360-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-360"
"6","702","Singapore","0.576344","10","0.470208","9","0.457072","31558","10.2328","60.9006","62440491.812","23770125.145","0.380684","TM-702-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-702"
"7","764","Thailand","0.541691","7","0.533682","7","0.477468","30480","4.0693","91.086","49336387.734","15556854.401","0.315322","TM-764-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-764"
"8","458","Malaysia","0.50089","8","0.529198","8","0.469996","20975","27.1392","86.1073","63004636.178","15417102.845","0.244698","TM-458-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-458"
"9","608","Philippines","0.459376","9","0.479416","10","0.444204","10597","14.6478","80.1736","26755649.923","8524183.256","0.318594","TM-608-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-608"
"10","116","Cambodia","0.399793","6","0.54237","1","0.613053","385","43.1714","75.3247","3205415.1217","1783748.455","0.55648","TM-116-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-116"
"11","096","Brunei Darussalam","0.267524","11","0.289779","11","0.364812","207","-16.6316","54.5894","815186.31433","407719.64766","0.500155","TM-096-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-096"
