"country_code","country_name","imports_2025_usd_thousand","import_cagr_2020_2025_pct","china_share_2025_pct","china_rank_2025","minimum_returned_applied_tariff_pct","ntm_measure_count_max","epi_potential_usd","baseline_exports_usd","untapped_potential_usd","epi_rank","source_ids"
"036","Australia","203135","6.1031","85.1193","1","0",,"209248488.47","146088800","63159688.47","14","TM-036-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-036"
"096","Brunei Darussalam","207","-16.6316","54.5894","1","0",,"815186.31433","407466.66667","407719.64765999996","119","TM-096-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-096"
"116","Cambodia","385","43.1714","75.3247","1","0","11","3205415.1217","1421666.6667","1783748.455","80","TM-116-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-116"
"360","Indonesia","26204","-5.8077","94.2871","1","0",,"64317572.836","35599800","28717772.836000003","27","TM-360-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-360"
"392","Japan","531328","-3.5686","73.8088","1","0","30","643300726.23","426068266.67","217232459.56","3","TM-392-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-392"
"410","Korea, Republic of","307301","7.1221","84.1195","1","0","36","459297134.69","299156300","160140834.69","5","TM-410-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-410"
"418","Lao People's Democratic Republic",,,,"","0",,"644141.46613","175666.66667","468474.79945999995","126","TM-418-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-418"
"458","Malaysia","20975","27.1392","86.1073","1","0","3","63004636.178","47587533.333","15417102.845000006","28","TM-458-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-458"
"104","Myanmar",,,,"","0",,"1692826.6085","1077100","615726.6085000001","100","TM-104-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-104"
"554","New Zealand","27723","1.3103","68.3332","1","0","4","34623864.675","15707733.333","18916131.341999996","38","TM-554-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-554"
"608","Philippines","10597","14.6478","80.1736","1","0","30","26755649.923","18231466.667","8524183.256000001","42","TM-608-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-608"
"702","Singapore","31558","10.2328","60.9006","1","0","2","62440491.812","38670366.667","23770125.144999996","29","TM-702-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-702"
"764","Thailand","30480","4.0693","91.086","1","0","5","49336387.734","33779533.333","15556854.401","32","TM-764-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-764"
"704","Viet Nam",,,,"","5","11","152481865.39","74657300","77824565.38999999","15","TM-704-target_import_imports_by_supplier-VAL;MACMAP rows linked by raw_source_file;EPM-704"
