country_name,market,base_score,mean_rank,best_rank,worst_rank,top3_share
"Korea, Republic of",韩国,0.7328484184443946,1.242,1,5,0.9888
Japan,日本,0.7189983275895194,2.284,1,9,0.9064
Australia,澳大利亚,0.6606715112049582,3.7128,2,8,0.6288
New Zealand,新西兰,0.6355278295372491,4.063,1,9,0.3058
Indonesia,印度尼西亚,0.633736065329829,4.093,1,10,0.1552
Singapore,新加坡,0.5763443972610873,6.1922,4,10,0.0
Thailand,泰国,0.5416905137477701,6.9446,3,10,0.0002
Malaysia,马来西亚,0.5008903035726214,8.0604,2,11,0.0012
Philippines,菲律宾,0.45937551110741,9.2324,4,11,0.0
Cambodia,柬埔寨,0.3997929136115755,9.278,1,10,0.0136
Brunei Darussalam,文莱,0.26752417840292775,10.8976,4,11,0.0
