"country_code","country_name","scenario","score","rank"
"410","Korea, Republic of","strategy_weight_topsis","0.732848","1"
"392","Japan","strategy_weight_topsis","0.718998","2"
"036","Australia","strategy_weight_topsis","0.660672","3"
"554","New Zealand","strategy_weight_topsis","0.635528","4"
"360","Indonesia","strategy_weight_topsis","0.633736","5"
"702","Singapore","strategy_weight_topsis","0.576344","6"
"764","Thailand","strategy_weight_topsis","0.541691","7"
"458","Malaysia","strategy_weight_topsis","0.50089","8"
"608","Philippines","strategy_weight_topsis","0.459376","9"
"116","Cambodia","strategy_weight_topsis","0.399793","10"
"096","Brunei Darussalam","strategy_weight_topsis","0.267524","11"
"410","Korea, Republic of","equal_weight_topsis","0.631818","1"
"360","Indonesia","equal_weight_topsis","0.596738","2"
"036","Australia","equal_weight_topsis","0.578655","3"
"392","Japan","equal_weight_topsis","0.568191","4"
"554","New Zealand","equal_weight_topsis","0.556568","5"
"116","Cambodia","equal_weight_topsis","0.54237","6"
"764","Thailand","equal_weight_topsis","0.533682","7"
"458","Malaysia","equal_weight_topsis","0.529198","8"
"608","Philippines","equal_weight_topsis","0.479416","9"
"702","Singapore","equal_weight_topsis","0.470208","10"
"096","Brunei Darussalam","equal_weight_topsis","0.289779","11"
"116","Cambodia","entropy_topsis","0.613053","1"
"554","New Zealand","entropy_topsis","0.59013","2"
"360","Indonesia","entropy_topsis","0.574053","3"
"410","Korea, Republic of","entropy_topsis","0.564216","4"
"036","Australia","entropy_topsis","0.505207","5"
"392","Japan","entropy_topsis","0.503785","6"
"764","Thailand","entropy_topsis","0.477468","7"
"458","Malaysia","entropy_topsis","0.469996","8"
"702","Singapore","entropy_topsis","0.457072","9"
"608","Philippines","entropy_topsis","0.444204","10"
"096","Brunei Darussalam","entropy_topsis","0.364812","11"
